127.0.0.1 - - [02/Sep/2024:11:33:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:33:59 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:33:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:34:02 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:34:03 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:34:03 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:34:03 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:34:03 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:46:00 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:46:10 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:46:13 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [02/Sep/2024:11:46:13 +0530] "GET /Sample1/MyServlet HTTP/1.1" 200 173
